0	1	different meaning	-0.028251793	0.16948654
1	1	formal sentence	0.15240623	-0.05752564
2	1	ban	-0.030723268	-0.12592545
3	1	paraphrase	-0.10196904	0.23887
4	1	paraphrase	-0.023008535	0.123172075
5	1	nonstandard sentence	0.22414944	0.18746816
6	1	paraphrase	-0.018719252	0.15914677
7	1	different meaning	0.20661134	-0.057410326
8	1	nonstandard sentence	0.1250458	0.1126628
9	1	different meaning	-0.22164549	-0.13213582
10	1	generalization	0.1739196	-0.19519977
11	1	nonstandard sentence	0.2187977	-0.20896572
12	1	paraphrase	0.0486254	0.16838893
13	1	opposite meaning	0.26979256	0.26667053
14	1	nonsense	0.0102519	0.3319895
15	1	nonstandard sentence	0.2509101	0.31247663
16	1	future	-0.15741573	0.24778247
17	1	nonstandard sentence	0.18097137	-0.07023397
18	1	past	0.22187755	0.24444959
19	1	nonsense	-0.15707313	-0.15697607
20	1	nonstandard sentence	-0.12165076	0.1627774
21	1	nonstandard sentence	-0.060453333	0.1442525
22	1	formal sentence	0.05436537	0.09301135
23	1	nonstandard sentence	0.121461935	-0.0369828
24	1	opposite meaning	-0.049332142	0.034434967
25	1	formal sentence	0.08972773	0.21236753
26	1	possibility	0.29317707	0.09797986
27	1	generalization	-0.03565785	0.25205725
28	1	paraphrase	0.20589584	0.21032126
29	1	nonstandard sentence	-0.11082885	0.00039644865
30	1	opposite meaning	0.060406778	-0.14285348
31	1	nonstandard sentence	0.05150413	0.20990114
32	1	nonstandard sentence	0.16031149	0.24299301
33	1	future	-0.19945054	0.018136904
34	1	formal sentence	-0.23515633	0.07659501
35	1	minimal change	0.15365073	-0.07254158
36	1	different meaning	0.019672891	-0.0921669
37	1	possibility	0.24783283	0.25857806
38	1	generalization	0.14858614	-0.12413254
39	1	formal sentence	0.004264886	-0.007990153
40	1	generalization	0.14449088	0.07305206
41	1	formal sentence	0.24721847	0.07021859
42	1	formal sentence	0.22962867	0.25862718
43	1	generalization	0.33344644	0.21494024
44	1	nonsense	-0.09697317	0.08452385
45	1	paraphrase	0.36260977	0.30350375
46	1	generalization	-0.12943299	0.13402805
47	1	opposite meaning	0.19493128	0.18462494
48	1	past	0.10539706	0.24650897
49	1	nonsense	0.16621624	-0.008488508
50	1	past	0.025773725	0.23238297
51	1	nonstandard sentence	0.2414912	-0.06218523
52	1	nonstandard sentence	0.0037895786	0.2711016
53	1	generalization	-0.040245514	0.25916058
54	1	different meaning	0.24863856	0.29873276
55	1	paraphrase	0.2592299	-0.09896959
56	1	opposite meaning	0.21206912	-0.007976033
57	1	nonstandard sentence	0.04197972	0.24913855
58	1	ban	-0.16819957	0.10173918
59	1	nonstandard sentence	0.11640719	-0.11033163
60	1	formal sentence	-0.030293202	0.20569533
61	1	different meaning	0.19569375	-0.071315914
62	1	nonsense	-0.20146786	0.15045513
63	1	nonstandard sentence	0.17595959	0.25840843
64	1	nonstandard sentence	-0.08691083	-0.12832499
65	1	ban	0.12625909	0.12390711
66	1	generalization	-0.053963434	-0.15816317
67	1	formal sentence	0.08949276	-0.08607447
68	1	nonsense	0.14830609	0.05019534
69	1	future	0.17192152	-0.18190666
70	1	nonstandard sentence	-0.12993297	0.20652133
71	1	possibility	0.04735445	0.024195554
72	10	formal sentence	0.054169416	0.010356396
73	10	ban	-0.18712197	0.18777694
74	10	generalization	-0.14625227	0.12525798
75	10	possibility	-0.035873294	0.26674587
76	10	possibility	0.09154379	-0.029191837
77	10	ban	0.07768963	-0.11043068
78	10	nonstandard sentence	-0.081954636	0.091128305
79	10	paraphrase	-0.02442079	0.1379768
80	10	generalization	0.0011918494	0.28814602
81	10	future	0.032259017	0.18452205
82	10	future	0.06347359	-0.10823548
83	10	opposite meaning	-0.06518115	0.05374702
84	10	different meaning	0.24558598	0.048457507
85	10	nonstandard sentence	-0.022106435	0.1483265
86	10	minimal change	-0.13194005	0.207052
87	10	future	-0.076999895	-0.12591617
88	10	future	-0.015525369	-0.018108621
89	10	nonstandard sentence	-0.19282869	0.19476551
90	10	future	-0.13209227	0.0046821795
91	10	nonsense	0.27104157	-0.11924251
92	10	seed	-0.18608771	0.17588893
93	10	future	0.186944	-0.040890794
94	10	nonstandard sentence	0.093882434	0.16546936
95	10	minimal change	-0.258587	0.013140501
96	10	future	-0.14957352	0.25364727
97	10	ban	0.20835567	-0.114522085
98	10	formal sentence	-0.19891535	0.26537082
99	10	formal sentence	0.032726035	0.3058037
100	10	formal sentence	-0.30725074	0.07379531
101	10	different meaning	-0.054105166	-0.08087883
102	10	minimal change	-0.09466466	0.25034288
103	10	nonstandard sentence	0.39395005	-0.073520504
104	10	paraphrase	0.31831536	0.3254141
